Date,Comp,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Opp Formation
2024-08-14,Super Cup,UEFA Super Cup,Home,W,2,0,Atalanta,,,52.0,4-1-4-1,3-4-1-2
2024-08-18,La Liga,Matchweek 1,Away,D,1,1,Mallorca,0.6,1.0,66.0,4-3-3,4-3-3
2024-08-25,La Liga,Matchweek 2,Home,W,3,0,Valladolid,2.1,0.4,63.0,4-2-3-1,4-1-4-1
2024-08-29,La Liga,Matchweek 3,Away,D,1,1,Las Palmas,2.5,0.8,57.0,4-2-3-1,4-1-4-1
2024-09-01,La Liga,Matchweek 4,Home,W,2,0,Betis,2.4,0.6,60.0,4-3-3,4-2-3-1
2024-09-14,La Liga,Matchweek 5,Away,W,2,0,Real Sociedad,2.3,1.1,52.0,4-2-3-1,4-5-1
2024-09-17,Champions Lg,League phase,Home,W,3,1,Stuttgart,2.6,1.9,46.0,4-3-3,4-2-3-1
2024-09-21,La Liga,Matchweek 6,Home,W,4,1,Espanyol,4.4,0.3,73.0,4-3-3,5-3-2
2024-09-24,La Liga,Matchweek 7,Home,W,3,2,Alavés,1.3,0.9,68.0,4-3-3,4-4-2
2024-09-29,La Liga,Matchweek 8,Away,D,1,1,Atlético Madrid,0.8,1.3,49.0,4-4-2,4-4-2
2024-10-02,Champions Lg,League phase,Away,L,0,1,Lille,2.0,1.1,58.0,4-4-2,4-2-3-1
2024-10-05,La Liga,Matchweek 9,Home,W,2,0,Villarreal,0.5,1.1,55.0,4-4-2,4-3-3
2024-10-19,La Liga,Matchweek 10,Away,W,2,1,Celta Vigo,0.7,1.8,53.0,3-4-3,3-4-3
2024-10-22,Champions Lg,League phase,Home,W,5,2,Dortmund,3.5,1.6,52.0,4-3-3,4-2-3-1
2024-10-26,La Liga,Matchweek 11,Home,L,0,4,Barcelona,1.5,2.6,43.0,4-4-2,4-2-3-1
2024-11-05,Champions Lg,League phase,Home,L,1,3,Milan,2.6,2.5,57.0,4-4-2,4-2-3-1
2024-11-09,La Liga,Matchweek 13,Home,W,4,0,Osasuna,3.1,0.1,68.0,4-3-3,4-3-3
2024-11-24,La Liga,Matchweek 14,Away,W,3,0,Leganés,1.8,0.1,67.0,4-4-2,3-4-3
2024-11-27,Champions Lg,League phase,Away,L,0,2,Liverpool,1.2,2.7,37.0,4-2-2-2,4-3-3
2024-12-01,La Liga,Matchweek 15,Home,W,2,0,Getafe,3.2,0.5,69.0,4-3-3,4-4-2
2024-12-04,La Liga,Matchweek 19,Away,L,1,2,Athletic Club,1.7,1.8,63.0,4-4-2,4-2-3-1
